Year,Total Passengers,aboard crashes,Died,Ratio
1970,1866052552.0,2681.0,2049.0,0.00010980398155474885
1971,1995742424.0,2567.0,1932.0,9.680607962062343e-05
1972,1834734740.0,3635.0,2937.0,0.0001600776360728854
1973,2407571100.0,3433.0,2485.0,0.00010321605870746663
1974,2885296200.0,3064.0,2318.0,8.033837219208205e-05
1975,3000265300.0,2308.0,1639.0,5.462850235277527e-05
1976,3291132576.0,2629.0,2059.0,6.256204976411136e-05
1977,3582135652.0,2662.0,2138.0,5.968506521539179e-05
1978,4013502324.0,2722.0,1558.0,3.881896344455686e-05
1979,4517493100.0,2457.0,2011.0,4.451583999098969e-05
1980,4522459628.0,2701.0,1827.0,4.03983705833095e-05
1981,4552308300.0,1550.0,1230.0,2.7019259657787235e-05
1982,4659494748.0,3163.0,1787.0,3.835179770869011e-05
1983,4863798976.0,2352.0,1611.0,3.3122257065913734e-05
1984,5185958528.0,1647.0,1228.0,2.3679325497297923e-05
1985,5525195024.0,3480.0,2670.0,4.8324086089309415e-05
1986,5921530576.0,2568.0,1471.0,2.4841550357976235e-05
1987,6349538824.0,2220.0,1713.0,2.697833728530329e-05
1988,6710460272.0,3037.0,2034.0,3.031088654957169e-05
1989,6905847800.0,3643.0,2293.0,3.320374364462536e-05
1990,7200120696.0,2396.0,1312.0,1.8221916762157565e-05
1991,8441285324.0,2459.0,1839.0,2.1785781778651793e-05
1992,8648840052.0,2965.0,2122.0,2.4535082013793266e-05
1993,8526864296.0,2419.0,1568.0,1.838894047763323e-05
1994,9179196824.0,3106.0,1876.0,2.0437517965569664e-05
1995,9702472617.0,2112.0,1593.0,1.641849519068836e-05
1996,10318722624.0,3058.0,2386.0,2.3123017130535867e-05
1997,10787731452.0,2485.0,1673.0,1.5508357873423266e-05
1998,10862047280.0,2011.0,1544.0,1.4214631553325368e-05
1999,11503727196.0,2758.0,970.0,8.432049747644241e-06
2000,12307336294.0,2357.0,1429.0,1.1610960859960068e-05
2001,12340167509.0,2111.0,1398.0,1.1328857561944786e-05
2002,12139190616.0,1798.0,1437.0,1.1837692029532588e-05
2003,12494965781.0,1508.0,1276.0,1.0212112800983428e-05
2004,14288570083.0,937.0,728.0,5.094981483599586e-06
2005,15007526880.0,2164.0,1306.0,8.702299922184114e-06
2006,15932413653.0,1413.0,1136.0,7.13011866714932e-06
2007,17144277804.0,1364.0,931.0,5.4303833071509415e-06
2008,17302713841.0,1463.0,820.0,4.7391409667595165e-06
2009,17776516280.0,891.0,581.0,3.2683569201557862e-06
